source,destination,time,source_name,destination_name,source_longitude,source_latitude,destination_longitude,destination_latitude,destination_latitude_center,destination_longitude_center,angle,LineText
60200769,60200282,28.0,Leopoldau,Donaumarina,16.451795349999998,48.27752845,16.43126455,48.206269,-26.905553824214834,-7.751849676837044,0.2805162683023721,U2
60200820,60200282,25.0,Längenfeldgasse,Donaumarina,16.334985225,48.184854175,16.43126455,48.206269,5.427951901622574,24.403633707988487,1.3519351818416872,U2
60200827,60200282,23.0,Margaretengürtel,Donaumarina,16.3430588,48.18848495,16.43126455,48.206269,4.545787485793324,22.54630382421928,1.3718434881977852,U2
60200863,60200282,26.0,Meidling Hauptstraße,Donaumarina,16.32785,48.183654950000005,16.43126455,48.206269,5.5542711397650555,25.399804568263374,1.3555113726912922,U2
60200874,60200282,28.0,Michelbeuern - AKH,Donaumarina,16.344316900000003,48.2213,16.43126455,48.206269,-4.7697277711467185,27.590753831476803,1.3996140948120286,U2
60200910,60200282,11.0,Aspern Nord,Donaumarina,16.5047334,48.23458495,16.43126455,48.206269,-3.9559128705600832,-10.264051508080865,1.20292666238328,U2
60200916,60200282,12.0,Nestroyplatz,Donaumarina,16.38549955,48.21528995,16.43126455,48.206269,-2.320720088950918,11.773455663854161,1.3761767162687815,U2
60200937,60200282,27.0,Niederhofstraße,Donaumarina,16.3311559,48.1808161,16.43126455,48.206269,6.653147176028609,26.167453690684205,1.3218190938014092,U2
60200942,60200282,13.0,Seestadt,Donaumarina,16.5084165,48.2261086,16.43126455,48.206269,-3.2376142063032645,-12.590387374943763,1.3190999462824489,U2
60200949,60200282,33.0,Oberlaa,Donaumarina,16.400264,48.142194,16.43126455,48.206269,29.705888237933724,14.372202475452076,0.45061728882057944,U2
60200950,60200282,24.0,Nußdorfer Straße,Donaumarina,16.3523609,48.231305899999995,16.43126455,48.206269,-7.258770749962269,22.875975327830115,1.2635356127010255,U2
60200956,60200282,33.0,Ober St. Veit,Donaumarina,16.276076500000002,48.1922459,16.43126455,48.206269,2.969845281668836,32.86609223809471,1.4806790893178738,U2
60200981,60200282,31.0,Ottakring,Donaumarina,16.31151455,48.211560950000006,16.43126455,48.206269,-1.3686054031447505,30.969774284784236,1.5266334111827196,U2
60201007,60200282,38.0,Perfektastraße,Donaumarina,16.313495,48.1369569,16.43126455,48.206269,19.27417978031846,32.74913729849938,1.0388458573280668,U2
60201015,60200282,29.0,Philadelphiabrücke,Donaumarina,16.3313944,48.17351995,16.43126455,48.206269,9.036149949131042,27.556269596896076,1.2539290000458563,U2
60201018,60200282,21.0,Pilgramgasse,Donaumarina,16.3543015,48.19215285,16.43126455,48.206269,3.788510019049449,20.655439763790117,1.3893978921737502,U2
60201035,60200282,29.0,Hütteldorfer Straße,Donaumarina,16.3114111,48.19979995,16.43126455,48.206269,1.562990283876703,28.957849736686374,1.5168739829681268,U2
60201040,60200282,6.0,Praterstern,Donaumarina,16.3924844,48.2188364,16.43126455,48.206269,-1.8497035915502837,5.707766342747922,1.2574077524908782,U2
60201062,60200282,17.0,Spittelau,Donaumarina,16.358319225,48.235238425,16.43126455,48.206269,-6.2746527687531835,15.799643433684762,1.1927588593556773,U2
60201095,60200282,26.0,Reumannplatz,Donaumarina,16.3778315,48.17515915,16.43126455,48.206269,13.081996352392292,22.46912039746983,1.0435521210204783,U2
60201104,60200282,23.0,Rochusgasse,Donaumarina,16.39161305,48.20242785,16.43126455,48.206269,2.217691861273141,22.892833874565266,1.4742249066928454,U2
