"FK_STEIG_ID_VON";"FK_STEIG_ID_NACH";"GEOMETRIE_WGS84"
214714676;214714677;"LINESTRING (16.2268681258637 47.9510025671828, 16.2269288 47.9506961, 16.227091 47.9499768, 16.227307 47.9491136, 16.2275361 47.9483764, 16.2277921 47.9476121, 16.2313665608416 47.9377120937261)"
214714677;214714679;"LINESTRING (16.2314537 47.9374707, 16.2321401 47.9355647, 16.2330015 47.9331642, 16.2347777 47.9281922, 16.2414087 47.9096979, 16.2449031 47.9003293, 16.2449166 47.9002844, 16.2451315 47.8997269, 16.2453734 47.8990886, 16.2458169 47.8978208)"
214714679;214714680;"LINESTRING (16.2458213013872 47.8978077159661, 16.2459379 47.8974611, 16.2466773 47.8952583, 16.2469197 47.8942961, 16.2471621 47.893289, 16.2473102 47.8927225, 16.2475928 47.8916435, 16.2477947 47.8908612, 16.2479162 47.8902227, 16.2479437 47.8897551, 16.2481752807189 47.8868939515589)"
214714680;214714682;"LINESTRING (16.2481759 47.8868863, 16.2482032 47.8865715, 16.2482441 47.8860679, 16.2482715 47.8856722, 16.2483132 47.8847279, 16.2483016 47.8837116, 16.2482758 47.8831719, 16.2481977 47.8819038, 16.2480926 47.8807795, 16.2480135 47.8801408, 16.2479077 47.8794842, 16.2478283 47.8789625, 16.2477091 47.8783509, 16.2474704 47.8772175, 16.2458134 47.8691218, 16.2447135 47.8636977, 16.2441833 47.861188, 16.2439986959281 47.8602554862277)"
214714682;214714683;"LINESTRING (16.2439714 47.8601176, 16.2423023 47.8519229, 16.239826 47.8398332, 16.2388729 47.8351466)"
214714683;214714684;"LINESTRING (16.2388726577941 47.8351454035579, 16.2377877 47.8297854, 16.2365173 47.8235965, 16.2360542 47.8213836, 16.2350488 47.8164451, 16.234599 47.8143042, 16.2345725 47.8142143, 16.2344003 47.8135216, 16.234122 47.8124151, 16.2338744188234 47.811647844017)"
214714763;214714764;"LINESTRING (16.2338744189798 47.8116478445017, 16.234122 47.8124151, 16.2344003 47.8135216, 16.2345725 47.8142143, 16.234599 47.8143042, 16.2350488 47.8164451, 16.2360542 47.8213836, 16.2365173 47.8235965, 16.2377877 47.8297854, 16.2388726724259 47.8351454758358)"
214714764;214714766;"LINESTRING (16.2388729 47.8351466, 16.239826 47.8398332, 16.2423023 47.8519229, 16.2439714 47.8601176)"
214714766;214714767;"LINESTRING (16.2439986964813 47.8602554890223, 16.2441833 47.861188, 16.2447135 47.8636977, 16.2458134 47.8691218, 16.2474704 47.8772175, 16.2477091 47.8783509, 16.2478283 47.8789625, 16.2479077 47.8794842, 16.2480135 47.8801408, 16.2480926 47.8807795, 16.2481977 47.8819038, 16.2482758 47.8831719, 16.2483016 47.8837116, 16.2483132 47.8847279, 16.2482715 47.8856722, 16.2482441 47.8860679, 16.2482032 47.8865715, 16.2481759 47.8868863)"
214714767;214714769;"LINESTRING (16.2481752792194 47.8868939700856, 16.2479437 47.8897551, 16.2479162 47.8902227, 16.2477947 47.8908612, 16.2475928 47.8916435, 16.2473102 47.8927225, 16.2471621 47.893289, 16.2469197 47.8942961, 16.2466773 47.8952583, 16.2459379 47.8974611, 16.2458213070103 47.8978076992501)"
214714769;214714770;"LINESTRING (16.2458169 47.8978208, 16.2453734 47.8990886, 16.2451315 47.8997269, 16.2449166 47.9002844, 16.2449031 47.9003293, 16.2414087 47.9096979, 16.2347777 47.9281922, 16.2330015 47.9331642, 16.2321401 47.9355647, 16.2314537 47.9374707)"
214714770;214714772;"LINESTRING (16.2313665615169 47.9377120918553, 16.2277921 47.9476121, 16.2275361 47.9483764, 16.227307 47.9491136, 16.227091 47.9499768, 16.2269288 47.9506961, 16.2268681260671 47.9510025661554)"
214714772;214714775;"LINESTRING (16.2267935 47.9513795, 16.2267395 47.9516223, 16.2265903 47.9525125, 16.2254905 47.9597154, 16.2250427 47.962503, 16.2241053 47.9687256, 16.2240180478256 47.9692746634619)"
